Days for shipment (scheduled),Order Region,order month,Order Status,order hour,order day,city risk score,category risk score,Shipping Mode,Market,Order Item Total,actual_late_risk,predicted_late_risk
2,3,4,5,4,2,0.592948717948718,0.5497128426540671,2,2,0.43361336216148466,1,1
1,12,2,3,16,4,0.25,0.5455669122890421,0,2,-0.7173043525637466,1,1
4,12,6,2,5,2,0.5964912280701754,0.5453419768373516,3,2,0.8986121571612398,0,0
4,8,9,6,10,0,0.16666666666666666,0.5528726061615321,3,1,-1.1921328700975673,0,0
1,19,11,2,1,4,0.5319148936170213,0.5497128426540671,0,0,-0.7756999477224328,1,1
2,3,3,2,14,0,0.5343915343915344,0.5492640692640692,2,2,1.3734406746950605,1,1
4,10,7,2,13,4,0.4375,0.5474660586589284,3,1,-0.2762969340053447,0,0
2,7,12,7,19,6,0.4722222222222222,0.5480694980694981,2,3,-0.12593454429562778,1,1
2,17,8,6,18,5,0.4482758620689655,0.5474660586589284,2,1,-0.738463385394942,1,1
2,3,2,7,14,3,0.5411051212938005,0.5455669122890421,2,2,-1.131738014797213,0,0
2,22,6,5,22,1,0.46496815286624205,0.5453419768373516,2,1,0.5487383852086646,0,1
4,3,2,6,9,1,0.4567901234567901,0.5480694980694981,3,2,0.02401130334663139,1,1
1,14,6,7,17,0,0.875,0.5492640692640692,0,4,1.6733323699795788,1,1
0,6,4,5,6,0,0.6888888888888889,0.5474660586589284,1,4,0.41070496877169504,0,0
1,3,1,6,17,2,0.5,0.5453419768373516,0,2,0.8736211825541966,1,1
4,22,10,2,14,4,0.6,0.5337423312883436,3,1,1.3007168469549912,0,1
4,15,11,6,0,6,0.5427872860635696,0.5580110497237569,3,3,0.5495714685105477,0,0
1,3,4,1,8,3,0.5923566878980892,0.5455669122890421,0,2,-0.7756166266468474,1,1
4,3,3,1,14,0,0.725,0.5453419768373516,3,2,0.9485941063753262,0,1
4,1,3,2,9,0,0.550429669832655,0.5515294974508376,3,2,-0.5809369119661038,1,1
4,14,5,2,3,0,0.6,0.5448619976625011,3,4,-0.4966340642772374,0,0
4,12,4,2,17,1,0.18181818181818182,0.5480694980694981,3,2,0.12397520177480417,0,0
2,5,9,2,21,1,0.5833333333333334,0.5515294974508376,2,0,-1.2105428803941904,1,1
4,17,8,8,16,6,0.6666666666666666,0.5492640692640692,3,1,1.6733323699795788,0,0
0,17,9,7,23,5,0.44808743169398907,0.5492640692640692,1,1,1.6400110705035211,1,1
4,15,10,7,6,5,0.5294117647058824,0.5448619976625011,3,3,-0.6590753992230182,0,0
2,3,2,2,23,6,0.43790849673202614,0.5455669122890421,2,2,-0.3882565202376779,0,0
4,22,8,1,15,0,0.6056338028169014,0.5515294974508376,3,1,-0.21948418420823293,1,1
4,21,6,1,21,4,0.5277777777777778,0.5608365019011406,3,4,-0.9107345061852573,0,0
4,12,6,5,20,1,0.6289308176100629,0.5515294974508376,3,2,-1.2222053479562076,0,0
0,22,6,2,0,5,0.6136363636363636,0.5448619976625011,1,1,-0.7132225112048247,0,0
1,11,4,6,17,4,0.5862068965517241,0.5474660586589284,0,3,-0.2762969340053447,1,1
2,12,5,6,8,4,0.6289308176100629,0.5448619976625011,2,2,-0.4966340642772374,1,1
0,22,6,2,5,3,0.5853658536585366,0.5564681724845996,1,1,-1.1857185161164767,0,0
4,11,11,1,3,0,0.5970695970695971,0.5515294974508376,3,3,-0.02622054561713548,1,1
4,22,8,0,10,5,0.5254237288135594,0.5448619976625011,3,1,-0.6265871197383748,0,0
1,7,1,5,23,3,0.6,0.5714285714285714,0,3,0.5590680338630294,1,1
0,17,7,7,5,4,0.3816793893129771,0.5448619976625011,1,1,-0.7132225112048247,0,0
4,22,9,6,4,3,0.3953488372093023,0.5528726061615321,3,1,-1.0471852046313197,1,0
4,20,9,2,1,4,0.47058823529411764,0.5608365019011406,3,3,-1.2988443272545696,0,0
4,2,11,6,4,4,0.6066252587991718,0.5474660586589284,3,0,-0.8008575008369647,1,1
1,17,10,7,6,2,0.8,0.5448619976625011,0,1,-0.4966340642772374,1,1
4,21,4,2,1,4,0.5230352303523035,0.5497128426540671,3,4,0.29366387853803566,0,0
2,20,11,7,2,2,0.6875,0.5449667654360535,2,3,0.348810588352319,0,1
4,6,6,7,1,5,0.5046082949308756,0.5480694980694981,3,4,-0.12593454429562778,0,1
4,15,12,7,13,0,1.0,0.5455669122890421,3,3,-0.725634677432761,1,1
0,3,2,6,11,5,0.65,0.5497128426540671,1,2,0.6485356421520927,0,0
2,7,12,6,10,4,0.40476190476190477,0.5515294974508376,2,3,-0.3527693821124633,1,1
4,15,3,6,15,0,0.7586206896551724,0.5449667654360535,3,3,1.973057296325382,1,1
4,3,2,2,19,3,0.5418060200668896,0.5455669122890421,3,2,-0.767286301777833,0,0
4,7,11,6,20,3,0.4647887323943662,0.5449667654360535,3,3,1.406595205232403,0,0
2,3,4,6,14,1,0.5571428571428572,0.5449667654360535,2,2,2.6394001550355686,0,1
0,3,2,1,14,4,0.4567901234567901,0.5696629213483146,1,2,-0.944555604827463,1,1
4,12,4,2,19,2,0.3157894736842105,0.5453419768373516,3,2,0.673693385697851,0,0
4,22,11,6,21,4,0.5996810207336523,0.5362318840579711,3,1,-0.2792125985244815,0,0
4,3,3,0,16,4,0.0,0.5522151898734177,3,2,-1.090586221356827,0,0
4,10,9,7,3,6,0.5986394557823129,0.5453419768373516,3,1,0.9485941063753262,0,0
4,14,4,1,8,5,0.46153846153846156,0.5453419768373516,3,4,0.798648258733067,0,0
4,3,5,2,0,1,0.6053811659192825,0.5492640692640692,3,2,1.739974968931694,1,1
4,22,7,5,13,2,0.515970515970516,0.5626168224299065,3,1,-0.9656313165830731,1,1
4,22,6,2,8,6,0.37037037037037035,0.5528726061615321,3,1,-0.5809369119661038,1,1
4,3,4,5,13,1,0.5375722543352601,0.5474660586589284,3,2,0.04841909440147215,1,0
2,16,10,2,8,1,0.6428571428571429,0.5453419768373516,2,0,0.8361347206436318,0,0
2,22,10,2,16,3,0.64,0.5497128426540671,2,1,-1.1255735603991965,1,1
2,22,7,6,2,2,0.75,0.5480694980694981,2,1,0.14063585151283295,1,1
0,3,3,6,18,5,0.5418060200668896,0.5492640692640692,1,2,1.6733323699795788,1,1
4,21,7,3,11,0,0.5066666666666667,0.5448619976625011,3,4,-0.48580461695654414,0,0
4,1,2,6,20,3,0.5575,0.5626168224299065,3,2,-1.2588587742143473,0,0
4,10,9,6,17,2,0.4787234042553192,0.5453419768373516,3,1,0.8736211825541966,0,0
4,22,6,3,23,6,0.38317757009345793,0.5492640692640692,3,1,1.6233504207654923,0,0
4,9,10,7,11,0,0.5833333333333334,0.5457627118644067,3,0,-1.2143748222533413,0,0
1,22,9,3,0,4,0.4444444444444444,0.5480694980694981,0,1,-0.10927389455759898,1,1
4,7,2,6,4,3,0.4666666666666667,0.5453419768373516,3,3,0.673693385697851,0,0
1,11,3,2,9,3,0.5245901639344263,0.5480694980694981,0,3,-0.15925584377168536,1,1
1,3,5,2,15,1,0.4926829268292683,0.5474660586589284,0,2,-1.1464826936473178,1,1
2,14,8,5,5,0,0.6497890295358649,0.5453419768373516,2,4,0.8361347206436318,1,1
4,3,1,3,12,0,0.4846715328467153,0.5515294974508376,3,2,-1.202212555525176,0,0
2,22,10,5,15,2,0.7391304347826086,0.5455669122890421,2,1,-0.8172682509919194,0,1
2,6,7,5,1,0,0.5163934426229508,0.5497128426540671,2,4,-1.0705934290090984,1,1
4,10,7,3,0,3,1.0,0.5449667654360535,3,1,0.9485107214894525,1,1
4,8,10,2,9,0,0.6086956521739131,0.5480694980694981,3,1,-0.12593454429562778,1,1
4,22,7,2,19,6,0.40789473684210525,0.5455669122890421,3,1,-0.7922772763848762,0,0
4,22,8,3,5,6,0.8024691358024691,0.5497128426540671,3,1,-1.050600636578067,0,1
2,13,2,2,12,6,0.6049382716049383,0.5474660586589284,2,3,0.30657590790901507,1,1
2,3,5,6,6,6,0.51625,0.5492640692640692,2,2,1.6233504207654923,1,1
4,22,8,2,8,4,0.6285714285714286,0.5448619976625011,3,1,-0.7132225112048247,1,1
1,13,1,5,18,6,0.6366782006920415,0.5497128426540671,0,3,-0.6458301501930183,1,1
4,22,7,7,14,4,0.37142857142857144,0.5474660586589284,3,1,-0.7093072483533917,1,1
4,19,9,2,11,2,0.53156146179402,0.5515294974508376,3,0,-0.8924077533205377,0,0
4,22,8,2,5,4,0.5238095238095238,0.5497128426540671,3,1,0.4536060910321375,0,0
2,13,2,5,0,5,0.5,0.5453419768373516,2,3,0.9485941063753262,1,1
4,13,9,2,21,0,0.35294117647058826,0.5455669122890421,3,3,-0.3007881091130267,0,0
4,20,1,6,19,3,0.5573770491803278,0.5474660586589284,3,3,-0.5011324480368301,0,0
4,7,2,1,5,1,0.6296296296296297,0.5449667654360535,3,3,0.7235919500260637,0,0
4,7,11,2,4,4,0.5652173913043478,0.5515294974508376,3,3,-0.2761302916875674,1,1
2,17,9,7,8,5,0.6888888888888889,0.5480694980694981,2,1,0.12397520177480417,1,1
4,20,10,5,13,6,0.5373134328358209,0.5449667654360535,3,3,-0.7673696228534184,1,0
4,10,9,2,21,2,0.18867924528301888,0.5474660586589284,3,1,-0.47614147342978685,0,0
4,17,6,2,0,0,0.5810344827586207,0.5515294974508376,3,1,-0.545949572507218,1,0
4,21,4,5,3,6,0.49437148217636023,0.5448619976625011,3,4,-0.4533163374719007,1,1
4,22,10,5,3,5,0.5657894736842105,0.5453419768373516,3,1,0.47376546138753495,1,0
2,6,7,2,2,2,0.5046082949308756,0.5455669122890421,2,4,-0.4882204186658507,1,1
4,21,7,1,10,5,0.5230352303523035,0.5453419768373516,3,4,0.8986121571612398,0,0
0,20,12,6,19,3,0.5512820512820513,0.5474660586589284,1,3,-0.2762969340053447,1,1
1,17,7,2,19,2,0.6353790613718412,0.5497128426540671,0,1,0.0738266102429407,1,1
2,3,3,2,8,1,0.4942084942084942,0.5696629213483146,2,2,-0.944555604827463,1,1
2,15,3,3,16,6,0.627906976744186,0.5453419768373516,2,3,0.34889397323819293,0,1
2,7,1,3,4,3,1.0,0.5546218487394958,2,3,1.0957076735512898,1,1
4,3,4,7,18,6,0.5379061371841155,0.5608365019011406,3,2,-0.6405820680174164,0,0
4,13,1,6,7,5,0.6126760563380281,0.5453419768373516,3,3,0.8486302079471534,1,0
4,18,8,7,11,4,0.5942857142857143,0.5455669122890421,3,4,-1.1796373827940456,0,0
4,1,5,2,5,1,0.525,0.5515294974508376,3,2,-1.2455302512584008,1,1
4,13,1,3,6,4,0.6,0.5608365019011406,3,3,-1.3015100286302534,1,0
4,3,4,2,0,3,0.5836734693877551,0.5515294974508376,3,2,-0.8790792462755117,0,0
4,22,9,7,16,1,0.4696969696969697,0.5453419768373516,3,1,0.598720334422751,1,0
4,21,4,1,13,1,0.49437148217636023,0.5474660586589284,3,4,-1.108996231736753,1,1
4,18,8,5,19,6,0.725,0.5474660586589284,3,4,-0.2762969340053447,1,0
4,3,2,2,18,1,0.5418060200668896,0.5474660586589284,3,2,0.441943687030499,0,0
4,16,11,2,7,4,0.5806451612903226,0.5453419768373516,3,0,0.7236753349119374,0,0
2,18,5,7,9,5,0.7368421052631579,0.5453419768373516,2,4,0.8486302079471534,0,1
4,13,11,7,2,1,0.6274509803921569,0.5449667654360535,3,3,2.2229670423958137,1,0
4,17,9,2,6,5,0.41627906976744183,0.5474660586589284,3,1,-0.33877437052295273,1,0
2,15,1,3,11,4,0.6052631578947368,0.5455669122890421,2,3,0.22402235763488035,1,1
4,21,5,7,23,5,0.6878980891719745,0.5474660586589284,3,4,-1.1131613941712604,0,0
0,10,7,6,3,1,0.44155844155844154,0.5497128426540671,1,1,0.9483442066256457,0,0
4,22,7,6,8,2,0.6533333333333333,0.5497128426540671,3,1,0.43361336216148466,1,0
1,17,9,4,6,4,0.7297297297297297,0.5579268292682927,0,1,-1.169307765961522,1,1
4,22,10,2,22,4,0.3333333333333333,0.5449667654360535,3,1,-0.27588039193788694,1,0
4,8,12,6,2,3,0.5,0.5474660586589284,3,1,-0.2762969340053447,1,0
1,22,8,6,10,6,0.5120828538550057,0.5515294974508376,0,1,-0.02622054561713548,1,1
4,22,9,7,1,0,0.0,0.5453419768373516,3,1,0.8361347206436318,0,0
2,3,4,2,4,0,0.5141955835962145,0.5474660586589284,2,2,-0.5011324480368301,1,1
1,3,4,6,2,1,0.5723076923076923,0.5480694980694981,0,2,-0.05929194534351259,1,1
1,21,5,8,11,0,0.5443330763299923,0.5492640692640692,0,4,1.506725872599291,0,0
2,1,5,6,16,0,0.550429669832655,0.5448619976625011,2,2,-0.550781175925831,1,1
4,17,7,6,23,4,0.6398601398601399,0.5497128426540671,3,1,0.5235808957378147,0,0
4,22,7,2,16,1,0.6666666666666666,0.5455669122890421,3,1,-0.8255985758609338,1,1
2,8,10,7,21,5,0.6428571428571429,0.5474660586589284,2,1,-0.4011685496086573,0,0
0,11,11,1,16,0,0.5365853658536586,0.5455669122890421,1,3,0.5364095402229203,1,1
1,3,2,7,23,0,0.6290322580645161,0.5474660586589284,0,2,-1.1214917190402747,1,1
1,15,1,6,0,5,0.5340659340659341,0.5546218487394958,0,3,1.1230311291252675,1,1
2,15,2,6,22,4,0.5606361829025845,0.5474660586589284,2,3,-1.1131613941712604,1,1
2,20,11,6,21,0,0.4827586206896552,0.5492640692640692,2,3,1.4734045731232333,1,1
4,12,6,6,6,6,0.5789473684210527,0.5448619976625011,3,2,-0.44248688931817487,1,1
4,15,2,6,11,5,0.554670528602462,0.5457627118644067,3,3,-0.8859101100857029,1,0
2,1,1,6,8,2,0.40756302521008403,0.5515294974508376,2,2,-0.07620249483122186,1,1
4,3,6,3,18,3,0.5491419656786272,0.5455669122890421,3,2,0.05741586025459239,0,0
1,21,6,5,11,2,0.5443330763299923,0.5455669122890421,0,4,0.024094560778534793,1,1
4,22,7,2,7,1,0.6363636363636364,0.5492640692640692,3,1,1.573368471551406,0,0
2,17,9,2,23,4,0.32558139534883723,0.5453419768373516,2,1,0.8986121571612398,0,0
4,22,9,1,21,1,0.6666666666666666,0.5480694980694981,3,1,0.07399325256071777,1,1
4,18,8,6,13,0,0.5948717948717949,0.5455669122890421,3,4,-1.1379857584489736,0,1
4,12,2,0,20,5,0.32051282051282054,0.5453419768373516,3,2,0.7486663095189806,0,0
1,7,2,7,0,6,0.4647887323943662,0.5455669122890421,0,3,-0.36326554563063473,1,1
4,3,3,5,1,2,0.535796766743649,0.5474660586589284,3,2,-0.009809922249725234,0,1
4,15,11,6,8,5,0.554670528602462,0.5480694980694981,3,3,0.12397520177480417,0,0
4,21,8,2,13,6,0.5230352303523035,0.5449667654360535,3,4,0.6736100008119773,1,1
0,10,10,1,17,6,1.0,0.5696629213483146,1,1,-0.5885175375860764,1,1
4,15,12,2,21,5,0.5669291338582677,0.5067873303167421,3,3,10.595276819557807,0,1
4,7,12,6,5,6,0.5483870967741935,0.5455669122890421,3,3,0.20319654546234436,1,0
4,22,6,2,6,2,0.5238095238095238,0.5497128426540671,3,1,-1.1005825857921532,0,0
4,12,4,6,14,5,0.0,0.5455669122890421,3,2,0.049085535385577986,0,0
1,13,2,7,9,2,0.49171270718232046,0.5453419768373516,0,3,0.7486663095189806,1,1
4,21,7,0,22,2,0.5,0.5522151898734177,3,4,-0.6558265775222976,0,0
4,12,3,6,10,5,0.5015511892450879,0.5497128426540671,3,2,-1.0705934290090984,0,0
1,22,8,6,11,3,0.5625,0.5449667654360535,0,1,1.5065591036605757,1,1
4,10,8,1,15,1,0.4470588235294118,0.5449667654360535,3,1,2.1396637937056697,1,0
0,22,7,6,15,6,0.581888246628131,0.5497128426540671,1,1,-1.0256096619710238,1,1
1,7,10,5,18,4,0.78125,0.5474660586589284,0,3,-0.3012879086123879,1,1
1,12,3,7,10,0,0.7368421052631579,0.5480694980694981,0,2,0.07399325256071777,1,1
2,22,8,8,7,0,0.456,0.5492640692640692,2,1,1.6400110705035211,0,0
2,3,1,8,7,2,0.5411051212938005,0.5455669122890421,2,2,-0.05920868791160919,0,0
2,12,1,3,20,2,0.5670498084291188,0.5453419768373516,2,2,0.5737293598157077,0,1
4,3,2,6,5,0,0.59375,0.5455669122890421,3,2,-0.4007520075411995,1,1
4,1,4,5,0,4,0.534965034965035,0.5455669122890421,3,2,-0.4632294440588075,1,0
4,21,5,2,4,6,0.5443330763299923,0.5492640692640692,3,4,1.6733323699795788,0,0
4,22,10,5,0,6,0.4728682170542636,0.5474660586589284,3,1,0.41070496877169504,1,1
1,20,8,3,12,0,0.6808510638297872,0.5626477541371159,0,3,-0.7652037205605794,1,1
2,12,1,6,5,4,1.0,0.5474660586589284,2,2,0.2857500957364791,1,1
1,22,8,2,3,2,0.5996810207336523,0.5492640692640692,0,1,1.7066536694556365,1,1
4,3,4,2,3,3,0.5533333333333333,0.5480694980694981,3,2,-0.15925584377168536,1,0
2,3,5,2,10,1,0.7128712871287128,0.5455669122890421,2,2,-1.1088296214074234,1,1
2,22,10,2,10,4,0.456,0.5480694980694981,2,1,0.02401130334663139,1,1
0,12,2,7,16,0,0.4659090909090909,0.5453419768373516,1,2,0.9735850809823694,1,1
4,22,6,7,11,5,0.7380952380952381,0.5515294974508376,3,1,-0.23281262735966718,0,0
4,12,3,2,11,3,0.5766871165644172,0.5480694980694981,3,2,-0.15925584377168536,0,0
4,22,9,2,3,5,0.46496815286624205,0.5448619976625011,3,1,-0.4533163374719007,1,0
4,3,2,6,10,6,0.5885462555066079,0.5453419768373516,3,2,0.34889397323819293,1,0
4,21,6,2,14,5,0.5163934426229508,0.5448619976625011,3,4,-0.583269456243507,1,1
4,22,9,1,17,3,0.8333333333333334,0.5626168224299065,3,1,0.6737765156757841,1,1
4,7,11,6,23,5,0.4,0.5448619976625011,3,3,-0.6157576724176814,0,0
4,3,4,3,15,3,0.5487804878048781,0.5497128426540671,3,2,-0.625837357178864,0,0
1,3,2,2,12,4,0.5189873417721519,0.5455669122890421,0,2,-0.4007520075411995,1,1
4,20,9,1,9,4,0.2839506172839506,0.5453419768373516,3,3,0.673693385697851,0,0
1,22,8,5,15,6,0.5996810207336523,0.5358306188925082,0,1,-0.5881843170940234,1,1
4,3,2,6,20,1,0.3925925925925926,0.5480694980694981,3,2,0.04900227795367459,1,0
4,10,8,2,16,3,0.546583850931677,0.5448619976625011,3,1,-0.5020487887706166,0,0
1,12,5,1,11,1,0.47023809523809523,0.5448619976625011,0,2,-0.4749752329463198,1,1
4,11,2,5,15,4,0.75,0.5455669122890421,3,3,-0.31328359641654835,1,1
4,11,12,7,22,5,0.696078431372549,0.5429594272076372,3,3,-1.2471963225632507,0,1
4,22,8,1,23,5,0.34615384615384615,0.5474660586589284,3,1,-1.1256568814747818,1,0
